payment_id,attempt,action,outcome,amount,timestamp
pay_1020,2,auto_retry_backup_method,failed,11968.31,2026-09-05T19:52:53
pay_1020,3,notify_customer_sms,failed,11968.31,2026-09-05T19:52:53
pay_1021,1,auto_retry_same_method,recovered,10354.07,2026-09-05T19:52:53
pay_1022,1,auto_retry_same_method,recovered,7217.45,2026-09-05T19:52:53
pay_1023,0,skipped_opted_out,not_attempted,3129.26,2026-09-05T19:52:53
pay_1024,1,notify_customer_sms,failed,8228.27,2026-09-05T19:52:53
pay_1024,2,send_payment_link_whatsapp,failed,8228.27,2026-09-05T19:52:53
pay_1025,0,skipped_opted_out,not_attempted,1471.89,2026-09-05T19:52:53
pay_1026,1,auto_retry_same_method,failed,11666.87,2026-09-05T19:52:53
pay_1026,2,auto_retry_backup_method,failed,11666.87,2026-09-05T19:52:53
pay_1026,3,notify_customer_sms,failed,11666.87,2026-09-05T19:52:53
pay_1027,1,notify_customer_sms,recovered,10123.78,2026-09-05T19:52:53
pay_1028,1,notify_customer_sms,recovered,6541.64,2026-09-05T19:52:53
pay_1029,1,auto_retry_backup_method,failed,380.8,2026-09-05T19:52:53
pay_1029,2,send_payment_link_whatsapp,failed,380.8,2026-09-05T19:52:53
pay_1029,3,escalate_manual_followup,failed,380.8,2026-09-05T19:52:53
pay_1030,1,auto_retry_same_method,failed,2987.51,2026-09-05T19:52:53
pay_1030,2,auto_retry_backup_method,recovered,2987.51,2026-09-05T19:52:53
pay_1031,1,delay_retry_24h,failed,8823.1,2026-09-05T19:52:53
pay_1031,2,notify_customer_sms,failed,8823.1,2026-09-05T19:52:53
pay_1031,3,escalate_manual_followup,failed,8823.1,2026-09-05T19:52:53
pay_1032,1,auto_retry_same_method,failed,1671.44,2026-09-05T19:52:53
pay_1032,2,auto_retry_backup_method,failed,1671.44,2026-09-05T19:52:53
pay_1032,3,notify_customer_sms,recovered,1671.44,2026-09-05T19:52:53
pay_1033,1,auto_retry_same_method,failed,10488.33,2026-09-05T19:52:53
pay_1033,2,auto_retry_backup_method,failed,10488.33,2026-09-05T19:52:53
pay_1033,3,notify_customer_sms,failed,10488.33,2026-09-05T19:52:53
pay_1034,1,auto_retry_same_method,failed,8598.45,2026-09-05T19:52:53
pay_1034,2,auto_retry_backup_method,failed,8598.45,2026-09-05T19:52:53
pay_1034,3,notify_customer_sms,failed,8598.45,2026-09-05T19:52:53
pay_1035,1,auto_retry_same_method,recovered,10810.43,2026-09-05T19:52:53
pay_1036,1,notify_customer_sms,failed,399.26,2026-09-05T19:52:53
pay_1036,2,send_payment_link_whatsapp,recovered,399.26,2026-09-05T19:52:53
pay_1037,1,delay_retry_24h,failed,8537.92,2026-09-05T19:52:53
pay_1037,2,notify_customer_sms,failed,8537.92,2026-09-05T19:52:53
pay_1037,3,escalate_manual_followup,failed,8537.92,2026-09-05T19:52:53
pay_1038,1,auto_retry_same_method,failed,989.66,2026-09-05T19:52:53
pay_1038,2,auto_retry_backup_method,failed,989.66,2026-09-05T19:52:53
pay_1038,3,notify_customer_sms,failed,989.66,2026-09-05T19:52:53
pay_1039,1,notify_customer_sms,failed,1717.9,2026-09-05T19:52:53
pay_1039,2,send_payment_link_whatsapp,recovered,1717.9,2026-09-05T19:52:53
pay_1040,1,auto_retry_same_method,recovered,9718.84,2026-09-05T19:52:53
pay_1041,1,auto_retry_same_method,recovered,5169.41,2026-09-05T19:52:53
pay_1042,1,send_payment_link_whatsapp,recovered,868.26,2026-09-05T19:52:53
pay_1043,1,notify_customer_sms,failed,2420.34,2026-09-05T19:52:53
pay_1043,2,send_payment_link_whatsapp,failed,2420.34,2026-09-05T19:52:53
pay_1044,1,delay_retry_24h,recovered,5632.14,2026-09-05T19:52:53
pay_1045,1,send_payment_link_whatsapp,failed,1310.22,2026-09-05T19:52:53
pay_1045,2,notify_customer_sms,failed,1310.22,2026-09-05T19:52:53
pay_1046,1,auto_retry_same_method,failed,11127.45,2026-09-05T19:52:53
pay_1046,2,auto_retry_backup_method,failed,11127.45,2026-09-05T19:52:53
pay_1046,3,notify_customer_sms,failed,11127.45,2026-09-05T19:52:53
pay_1047,0,skipped_opted_out,not_attempted,10396.11,2026-09-05T19:52:53
pay_1048,1,auto_retry_same_method,recovered,3292.66,2026-09-05T19:52:53
pay_1049,1,auto_retry_same_method,failed,7993.18,2026-09-05T19:52:53
pay_1049,2,auto_retry_backup_method,recovered,7993.18,2026-09-05T19:52:53
pay_1050,1,notify_customer_sms,failed,7013.29,2026-09-05T19:52:53
pay_1050,2,send_payment_link_whatsapp,recovered,7013.29,2026-09-05T19:52:53
pay_1051,1,notify_customer_sms,recovered,7072.5,2026-09-05T19:52:53
pay_1052,1,delay_retry_24h,failed,11535.23,2026-09-05T19:52:53
pay_1052,2,notify_customer_sms,failed,11535.23,2026-09-05T19:52:53
pay_1052,3,escalate_manual_followup,failed,11535.23,2026-09-05T19:52:53
pay_1053,1,auto_retry_same_method,failed,8151.27,2026-09-05T19:52:53
pay_1053,2,auto_retry_backup_method,failed,8151.27,2026-09-05T19:52:53
pay_1053,3,notify_customer_sms,failed,8151.27,2026-09-05T19:52:53
pay_1054,1,delay_retry_24h,failed,7010.19,2026-09-05T19:52:53
pay_1054,2,notify_customer_sms,failed,7010.19,2026-09-05T19:52:53
pay_1054,3,escalate_manual_followup,failed,7010.19,2026-09-05T19:52:53
pay_1055,1,auto_retry_backup_method,recovered,3898.98,2026-09-05T19:52:53
pay_1056,1,auto_retry_same_method,failed,3297.53,2026-09-05T19:52:53
pay_1056,2,auto_retry_backup_method,failed,3297.53,2026-09-05T19:52:53
pay_1056,3,notify_customer_sms,failed,3297.53,2026-09-05T19:52:53
pay_1057,1,delay_retry_24h,failed,11158.87,2026-09-05T19:52:53
pay_1057,2,notify_customer_sms,failed,11158.87,2026-09-05T19:52:53
pay_1057,3,escalate_manual_followup,failed,11158.87,2026-09-05T19:52:53
pay_1058,1,auto_retry_same_method,recovered,1018.14,2026-09-05T19:52:53
pay_1059,1,auto_retry_same_method,failed,10588.24,2026-09-05T19:52:53
pay_1059,2,auto_retry_backup_method,failed,10588.24,2026-09-05T19:52:53
pay_1059,3,notify_customer_sms,failed,10588.24,2026-09-05T19:52:53
pay_1060,1,notify_customer_sms,failed,8486.95,2026-09-05T19:52:53
pay_1060,2,send_payment_link_whatsapp,failed,8486.95,2026-09-05T19:52:53
